ID,NODE_MINUTES,NODES,EXECUTIONSTART,SHOTS,RESENTSHOTS,RESTART,SCNAME,NTHREADS,NCPU,ATTR01,ATTR02,ATTR03,ATTR04,ATTR05,ATTR06,ATTR07,ATTR08,ATTR09,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR20,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR30,ATTR31,ATTR32
376782589,2060,24,7/26/2018 8:43,58,0,F,center_4,1,2,?,?,tamrec,?,?,18,?,0,0,3306,0,0,0,0,0,0,416,416,0,333,130.432,0,0,0,51,0,0,0,0,0,0,0,18727263,1.87197E+11,282,8,2251,0,0,0,0,0
370481129,689,8,7/26/2018 8:47,20,0,F,center_4,1,2,?,?,?,?,tamnone,0,?,0,0,4231,0,0,0,0,0,0,288,288,0,594,231.363,0,0,0,174,0,0,0,0,0,0,0,531722,6931003473,751,4,3001,0,0,0,0,0
375480735,1724,8,7/26/2018 8:47,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.347,0,0,0,110,0,0,0,0,0,0,0,1762096,8141110509,133,8,1063,0,0,0,0,0
375480736,852,8,7/26/2018 8:49,130,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,66.286,0,0,0,110,0,0,0,0,0,0,0,1077787,4978940837,133,8,1063,0,0,0,0,0
376034693,5375,8,7/26/2018 8:50,197,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.87,0,0,0,62,0,0,0,0,0,0,0,502826,2226940542,22,24,513,0,0,0,0,0
376034695,3174,8,7/26/2018 8:50,204,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.578,0,0,0,62,0,0,0,0,0,0,0,507825,2248415379,22,24,513,0,0,0,0,0
375480737,1716,8,7/26/2018 8:53,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.291,0,0,0,110,0,0,0,0,0,0,0,1638806,7570953601,133,8,1063,0,0,0,0,0
374430112,1645,8,7/26/2018 8:54,72,0,F,center_7,1,2,?,?,?,?,?,30,?,0,0,3541,0,0,0,0,0,0,384,320,0,425,231.217,0,0,0,87,0,0,0,0,0,0,0,1396229,6847251611,98,12,1168,0,0,0,0,0
374430114,2180,8,7/26/2018 8:54,74,0,F,center_8,1,4,?,?,?,?,?,30,?,0,0,3541,0,0,0,0,0,0,384,320,0,425,221.547,0,0,0,87,0,0,0,0,0,0,0,1613210,7911329759,98,12,1168,0,0,0,0,0
370481130,1929,8,7/26/2018 8:55,80,0,F,center_4,1,2,?,?,?,?,tamnone,0,?,0,0,4231,0,0,0,0,0,0,288,288,0,594,283.571,0,0,0,174,0,0,0,0,0,0,0,2664872,34738769231,751,4,3001,0,0,0,0,0
375480784,1672,8,7/26/2018 8:55,202,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.409,0,0,0,110,0,0,0,0,0,0,0,1679834,7761005903,133,8,1063,0,0,0,0,0
375480738,1178,8,7/26/2018 8:57,143,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,66.563,0,0,0,110,0,0,0,0,0,0,0,959187,4431332507,133,8,1063,0,0,0,0,0
376906734,372,16,7/26/2018 8:57,192,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,19.873,0,0,0,65,0,0,0,0,0,0,0,920263,8083128451,251,8,2001,0,0,0,0,0
376782591,3092,24,7/26/2018 9:01,54,0,F,center_2,1,4,?,?,tamrec,?,?,18,?,0,0,3306,0,0,0,0,0,0,416,416,0,333,129.422,0,0,0,51,0,0,0,0,0,0,0,17643671,1.76366E+11,282,8,2251,0,0,0,0,0
375480739,1736,8,7/26/2018 9:01,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.305,0,0,0,110,0,0,0,0,0,0,0,1478130,6828998000,133,8,1063,0,0,0,0,0
376906736,318,16,7/26/2018 9:02,165,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,19.876,0,0,0,65,0,0,0,0,0,0,0,843695,7410966069,251,8,2001,0,0,0,0,0
375480740,1202,8,7/26/2018 9:03,140,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,66.231,0,0,0,110,0,0,0,0,0,0,0,1048794,4845796851,133,8,1063,0,0,0,0,0
376034699,12660,8,7/26/2018 9:06,210,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.473,0,0,0,62,0,0,0,0,0,0,0,555690,2461016260,22,24,513,1647121,4960687226,13,60,751
